city,location,Status,latitude,longitude
Delhi,Sector 6 Dwarka,Semi-Furnished,28.58728218,77.06472778
Delhi,Chattarpur,Semi-Furnished,28.48923111,77.18061829
Delhi,Sector 10 Dwarka,Semi-Furnished,28.58639717,77.06064606
Delhi,Sector 10 Dwarka,Semi-Furnished,28.58352089,77.06206512
Delhi,Sector-18 Dwarka,Semi-Furnished,28.58868408,77.03623199
Delhi,Sector 12 Dwarka,Semi-Furnished,28.59105492,77.03888702
Delhi,Sector-18 Dwarka,Furnished,28.58757401,77.03544617
Delhi,Sector-18 Dwarka,Semi-Furnished,28.58866692,77.03621674
Delhi,Sector 19 Dwarka,Semi-Furnished,28.57264328,77.04571533
Delhi,Sector 3 Dwarka,Furnished,28.60393906,77.04146576
Delhi,Sector-18 Dwarka,Semi-Furnished,28.58742332,77.03553009
Delhi,Sector 6 Dwarka,Semi-Furnished,28.59153557,77.06052399
Delhi,Sector 19 Dwarka,Semi-Furnished,28.58540726,77.04299927
Delhi,Sector 11 Dwarka,Semi-Furnished,28.58953476,77.04988861
Delhi,Sector 19 Dwarka,Semi-Furnished,28.57698441,77.04685974
Delhi,Sector 9 Dwarka,Semi-Furnished,28.57806778,77.07007599
Delhi,Sector 11 Dwarka,Semi-Furnished,28.58974075,77.04853821
